Clock frequency is approx. 2688.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	7550.6	7137.2	5105.9	4092.5	3752.7	2644.0	2392.8	2663.7	2075.5	2288.6	1896.1	2112.7	2018.4	1900.9	1854.8	
64m	10854.5	5625.0	4416.2	3518.0	2995.1	3165.2	2350.1	2178.5	2051.0	1977.5	2180.8	2216.5	1818.2	1776.4	1806.4	
32m	7564.1	5921.2	5143.6	5293.2	3029.7	2735.7	2565.5	2202.9	2123.6	2120.2	3175.5	2171.9	2167.5	2017.9	2280.7	
16m	8677.4	8397.9	7682.5	6874.0	10730.8	5240.1	8061.6	4327.5	4213.7	4199.5	5383.8	4355.8	4123.1	4122.0	4369.3	
8m	9304.0	9284.0	9299.4	9275.0	8209.8	7186.1	6303.0	5664.3	5523.5	5447.4	5434.7	5425.8	5440.5	5343.0	5033.5	
4m	9311.0	9310.7	9309.2	9265.0	8575.3	7306.7	6366.8	5752.2	5725.6	5680.6	5698.7	5785.0	5841.3	5965.9	6119.1	
2m	9312.9	9309.5	9315.5	9315.1	9318.1	9171.0	8737.4	8291.1	8553.6	8853.9	9043.9	9224.6	9200.1	9314.0	9322.8	
1024k	9314.0	9316.2	9317.4	9312.3	9313.8	9299.8	9191.1	9331.3	9324.2	9305.5	9294.2	9335.7	9223.9	9234.5	9339.4	
512k	9271.5	9318.9	9327.2	9312.0	9318.4	9340.2	9336.4	9312.0	9330.9	9330.6	9351.7	9341.5	9348.7	9346.8	9344.9	
256k	9318.9	9318.0	9332.0	9347.6	9350.5	9343.0	9352.1	9350.6	9361.0	9343.0	9362.7	9344.5	9319.5	9383.2	9376.6	
128k	9315.5	9350.6	9353.4	9376.5	9362.9	9395.3	9379.7	9410.5	9401.1	9415.4	9447.9	9434.2	9436.3	9467.9	9486.4	
64k	9345.6	9372.5	9398.3	9402.5	9420.5	9464.6	9467.9	9467.2	9482.5	9521.6	9565.6	9581.9	9583.1	9605.2	9626.4	
32k	9370.5	9406.5	9428.1	9508.1	9552.6	9594.5	9605.2	9675.2	9745.6	9916.8	9956.6	10025.2	10080.3	10211.2	10227.8	
16k	9434.7	9541.0	9670.3	9813.1	9916.8	10052.6	10178.1	10348.1	10453.6	10635.4	10759.5	10920.3	10996.6	11232.3	11377.4	
