Clock frequency is approx. 2688.2 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s33	s35	s37	s39	s41	s43	s45	s47	s49	s51	s53	s55	s57	s59	s61	s63	
64m	9593.3	4447.4	3030.8	2627.2	1997.5	1810.6	1908.2	1765.3	1730.6	1744.2	1679.8	1840.6	1931.2	1985.4	1866.2	1861.5	2038.0	2032.5	2251.5	2309.0	2186.9	2262.8	2374.4	2452.2	2568.0	2498.2	2474.5	2655.5	2743.5	2785.3	2657.4	2848.5	
32m	7601.0	4290.9	3098.0	2934.5	2083.6	2034.4	2105.2	2217.9	2159.5	2261.2	2462.2	2586.8	2661.3	2811.3	2859.7	3152.9	3238.4	3316.0	3133.9	3564.3	3834.7	3774.1	3707.6	3660.0	3861.6	3868.7	3433.5	3885.6	3905.3	3835.5	3883.1	3765.1	
16m	8789.8	7733.9	5703.8	4430.8	3706.9	3918.1	3836.6	4143.0	4145.1	4194.7	4220.9	4006.8	3966.7	3962.4	3952.6	3901.1	4092.9	3487.3	4181.8	3601.5	3619.0	3865.0	3973.3	3880.2	3919.7	3955.9	3962.0	4144.3	4131.9	3870.1	3967.3	3994.9	
8m	9310.6	9305.4	8429.4	6312.5	5532.3	5421.9	5378.0	5281.8	5280.1	5285.1	5107.6	5181.3	5305.8	5629.0	5570.1	5812.3	6239.9	6458.3	6703.3	7062.0	7541.3	7641.7	8014.7	8268.4	8381.3	8541.7	8631.9	8878.5	9005.0	8845.0	9205.7	9094.6	
4m	9311.7	9312.2	8611.6	6376.2	5659.2	5676.9	5511.1	5883.3	6625.5	6859.4	7423.8	8061.2	8491.7	8571.5	8819.2	8957.7	9214.1	9327.4	9330.0	9329.7	9309.0	9328.8	9317.3	9332.4	9329.0	9325.3	9328.2	9332.0	9329.9	9326.7	9336.4	9324.4	
2m	9313.2	9315.3	9307.5	8451.2	8170.8	8820.0	9166.1	9302.6	9331.6	9320.8	9332.5	9327.7	9336.2	9328.2	9331.8	9331.9	9339.5	9339.8	9333.9	9333.4	9336.2	9326.1	9329.8	9330.2	9340.3	9334.6	9345.3	9333.7	9344.9	9353.1	9358.0	9352.7	
1024k	9307.9	9318.7	9324.0	9322.8	9332.1	9336.1	9338.1	9327.1	9331.0	9334.3	9344.9	9344.1	9346.2	9343.2	9344.3	9343.4	9345.6	9353.9	9352.1	9362.2	9374.4	9340.7	9363.1	9341.9	9350.7	9377.4	9350.3	9369.5	9362.6	9375.1	9395.7	9360.5	
512k	9316.5	9328.2	9335.1	9329.3	9331.5	9346.9	9344.5	9354.8	9361.5	9344.9	9376.2	9352.7	9367.8	9375.1	9363.8	9354.7	9378.2	9355.8	9367.9	9391.4	9356.2	9380.4	9410.5	9388.7	9386.9	9438.2	9436.5	9379.3	9408.9	9441.8	9414.3	9423.6	
256k	9317.1	9339.3	9349.8	9363.1	9332.6	9366.0	9365.2	9384.7	9361.5	9394.6	9415.7	9386.6	9426.8	9442.9	9432.9	9393.3	9431.4	9460.7	9493.3	9410.3	9463.6	9429.0	9490.3	9464.9	9423.0	9490.1	9510.8	9532.9	9524.8	9570.4	9530.9	9576.9	
128k	9332.4	9361.5	9385.9	9383.8	9410.8	9437.4	9423.8	9464.1	9507.5	9499.8	9500.2	9525.9	9560.2	9552.5	9626.1	9648.5	9793.6	9828.9	9816.3	9882.4	9898.2	9943.9	9984.9	10019.8	10067.7	10100.6	10165.2	10200.8	10164.9	10258.8	10274.7	10316.5	
64k	9349.2	9383.9	9426.1	9482.8	9501.5	9543.4	9556.7	9611.3	9813.6	9905.7	9937.6	10024.6	10065.6	10131.0	10189.2	10258.0	10341.4	10354.7	10486.5	10502.9	10580.8	10724.8	10753.0	10830.7	10957.9	11143.2	11149.9	11273.6	11273.0	11389.1	11366.8	11364.9	
32k	9371.1	9459.1	9511.9	9591.2	9765.7	9957.2	10111.0	10228.5	10402.1	10533.0	10698.1	10813.7	11005.0	11167.3	11324.7	11457.6	11594.5	11868.9	12138.3	12272.4	12344.3	12049.7	15054.2	11710.7	11511.2	11063.2	14079.1	14541.0	15430.5	15224.3	13618.8	12943.4	
16k	9395.1	9696.5	9939.8	10211.8	10499.2	10760.2	11142.1	11378.2	11767.2	12325.9	12334.3	14500.2	11433.8	18100.9	13299.7	13648.0	13889.3	17473.6	16974.4	16129.5	15773.7	17070.4	18817.7	11408.7	20406.2	15980.1	6922.2	11089.0	16772.3	10062.8	16373.9	15885.1	
8k	9268.6	10080.9	10636.1	11153.4	11991.7	11905.1	18408.6	15954.2	14693.7	15657.2	15885.1	17722.5	11566.5	16969.6	18952.1	18676.2	9259.5	14977.4	14852.6	17641.6	13374.0	12161.1	16308.7	11693.9	16033.5	11318.9	10349.8	11701.8	10116.3	10304.9	10006.3	9707.6	
4k	9813.8	10921.0	12369.0	17870.7	19111.8	17857.6	15681.4	18347.3	14663.2	16999.2	13795.0	12592.3	11531.2	10148.1	9974.8	6118.1	5747.3	14296.6	5280.5	12830.3	7827.5	7980.7	9408.9	7308.7	7437.5	6325.3	6899.8	9042.3	5964.5	8431.3	8186.9	5824.5	
2k	10387.8	15278.2	19633.8	16353.5	15255.8	12500.3	7034.2	10155.6	10753.0	11985.1	7669.4	10875.2	9897.6	6300.6	6272.6	5914.1	5555.7	6496.6	4928.5	5824.5	4704.4	4512.4	4032.4	5779.7	3936.4	3584.3	3648.3	3552.3	3618.8	4154.6	3168.3	3072.3	
