Clock frequency is approx. 2688.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
64m	9776.7	5532.6	4328.9	3441.6	2785.9	2531.3	2684.6	2514.2	2537.5	1906.3	1801.6	1887.8	1871.7	1784.4	1838.9	1682.2	1747.3	1725.8	1679.6	1818.2	1626.3	1762.7	1709.6	2409.6	1869.0	1868.2	1963.1	1896.7	2045.5	2001.8	2046.3	1639.5	2062.2	1957.7	2167.7	2270.0	2227.9	2289.0	2385.9	3683.3	2194.1	2176.2	2412.2	2398.4	2425.8	2449.5	2606.6	2234.5	2559.1	2586.5	2529.4	3561.0	2545.7	2599.7	2753.1	3073.0	2768.2	3521.1	2514.5	2606.3	2750.7	2651.4	2996.8	1647.0	
32m	7665.2	6098.6	4873.9	3612.9	3240.2	3506.1	2358.7	2163.1	2725.4	3460.3	2003.8	3246.1	3334.8	2134.8	2295.6	1928.1	2415.0	2576.9	2563.9	2575.3	2596.1	2831.7	2924.3	3175.5	2786.1	2943.5	3263.0	2904.1	3056.1	3271.6	3400.5	1925.6	3421.6	3440.1	3509.7	3664.1	3839.0	3672.0	3874.8	4075.5	3928.5	3775.2	4016.1	3742.2	3818.3	3830.2	3852.0	3190.1	3956.3	4027.9	4044.3	4043.0	4039.8	4020.0	4018.7	4050.1	4013.8	3900.3	3321.9	3325.8	3944.7	3959.0	3692.6	1976.6	
16m	8684.6	8313.5	7726.2	12890.1	6096.0	5264.2	4843.9	4375.2	4295.3	4268.6	4174.7	4273.7	4020.5	4230.7	4000.0	3062.7	3945.8	4226.6	4206.5	4254.7	4242.0	4298.3	4173.4	4366.9	4216.6	4167.6	4206.8	4222.3	3901.7	4125.1	3853.4	3167.3	3845.7	3824.5	3828.6	4174.6	3820.1	3842.6	4093.7	4229.5	4164.0	4157.5	4158.1	4160.0	4137.2	4128.6	4106.4	3358.2	4096.0	4131.0	4229.6	4359.8	4294.4	4082.1	4087.8	4225.4	4309.5	4354.0	4301.5	4376.1	4305.2	4331.1	4070.6	2939.4	
8m	9267.9	9300.4	9308.4	9217.7	8452.5	7219.7	6314.0	5245.4	5511.4	5440.6	5338.9	5360.4	5404.8	5387.1	5288.2	3700.0	5295.7	5563.2	5020.4	5336.3	5387.0	5422.5	5413.8	5624.4	5526.7	5294.1	5350.7	5473.0	5574.6	5761.7	5901.7	3695.3	6130.9	6242.4	6344.6	6654.4	6678.2	7117.8	7070.5	8315.0	7561.1	7691.7	7773.8	8042.3	7966.1	8005.5	8150.3	4242.9	8480.6	8847.8	8395.3	8718.5	8604.2	8920.0	8831.4	9246.9	9046.0	8931.7	9041.2	9178.4	9191.8	9112.9	9247.2	3633.5	
4m	9312.9	9312.1	9309.3	9312.7	8509.9	7230.2	6256.2	5630.1	5493.7	5465.4	5480.8	5571.5	5665.3	5829.0	6061.4	3709.0	6586.2	6876.7	7298.7	7315.6	7705.4	7961.4	8394.8	8915.6	8351.3	8643.8	8607.8	9114.2	8946.1	9187.8	9167.1	3699.6	9328.1	9327.7	9314.9	9306.9	9308.2	9312.4	9323.0	9329.4	9331.6	9332.4	9308.8	9326.4	9323.4	9334.0	9332.3	9226.2	9328.8	9319.8	9333.0	9325.1	9326.5	9320.5	9327.6	9323.9	9320.1	9336.2	9334.8	9337.1	9329.6	9339.4	9318.4	3689.7	
2m	9312.1	9313.3	9308.8	9312.3	9312.6	9082.2	8714.4	8307.8	8504.1	8698.9	8894.6	8958.1	8963.2	9075.6	9100.2	6492.3	9318.3	9323.6	9318.3	9332.4	9326.5	9329.8	9331.9	9331.7	9339.9	9339.6	9333.8	9334.3	9338.0	9327.9	9334.6	6484.6	9332.2	9324.5	9331.0	9339.1	9339.5	9333.0	9339.2	9347.2	9329.7	9342.1	9337.9	9352.2	9336.6	9325.5	9340.3	9319.8	9337.2	9343.0	9331.3	9318.6	9337.0	9324.7	9348.9	9345.6	9348.2	9351.3	9354.8	9337.9	9354.0	9337.5	9348.6	6415.7	
1024k	9315.0	9315.8	9317.1	9317.9	9321.4	9323.6	9325.7	9309.6	9316.4	9331.2	9331.2	9331.7	9329.9	9340.4	9331.6	9300.7	9340.3	9340.3	9333.0	9334.8	9327.8	9318.2	9345.4	9340.5	9338.4	9336.3	9336.4	9335.2	9342.3	9347.2	9347.1	9351.1	9345.5	9344.5	9353.8	9341.4	9358.8	9368.3	9364.5	9343.5	9364.0	9360.4	9356.5	9360.4	9343.4	9381.1	9333.0	9365.8	9335.4	9370.7	9355.0	9384.5	9366.6	9368.2	9355.7	9366.2	9365.9	9374.5	9360.3	9388.3	9376.5	9354.5	9380.0	9359.0	
512k	9316.8	9317.2	9321.7	9333.7	9336.8	9341.4	9339.5	9342.1	9344.7	9342.3	9341.3	9348.0	9345.9	9343.8	9337.9	9343.1	9340.3	9352.5	9335.3	9373.3	9370.8	9341.3	9366.8	9336.1	9380.1	9361.8	9371.6	9352.3	9381.7	9339.8	9373.8	9378.9	9361.6	9378.3	9346.9	9397.1	9404.7	9384.9	9381.5	9400.8	9361.1	9399.7	9380.2	9349.1	9376.5	9392.2	9370.9	9392.4	9411.4	9426.7	9399.6	9410.6	9403.0	9415.5	9365.5	9425.8	9408.7	9403.5	9426.8	9426.0	9398.9	9447.8	9431.4	9411.0	
256k	9318.4	9333.7	9341.4	9335.2	9349.7	9356.9	9361.2	9349.1	9348.1	9360.9	9344.0	9362.9	9355.4	9369.7	9347.2	9382.9	9352.9	9379.1	9389.7	9365.8	9383.9	9409.5	9369.3	9368.4	9364.1	9417.1	9415.5	9432.9	9410.8	9433.5	9393.2	9451.4	9431.3	9386.8	9451.6	9473.8	9493.1	9451.2	9439.6	9410.2	9432.3	9510.8	9461.5	9498.0	9444.4	9420.3	9476.7	9495.7	9497.5	9508.5	9503.0	9489.7	9524.3	9538.4	9518.6	9532.9	9554.1	9550.3	9555.0	9564.1	9562.3	9615.7	9560.4	9558.1	
128k	9327.8	9350.1	9362.9	9367.0	9373.3	9395.8	9383.7	9403.0	9406.1	9410.9	9437.2	9440.7	9423.7	9432.9	9479.2	9492.1	9481.3	9492.2	9480.2	9522.1	9532.4	9520.6	9513.9	9557.5	9547.1	9570.1	9594.5	9561.9	9580.4	9611.1	9599.4	9692.7	9811.5	9832.1	9809.6	9844.1	9856.7	9863.4	9882.2	9939.7	9920.9	9961.0	9967.9	9981.9	9959.4	9972.3	10019.7	9811.2	10067.6	10065.4	10100.4	10080.8	10103.2	10162.4	10200.6	10178.6	10164.8	10223.3	10153.9	10228.3	10238.1	10257.9	10278.4	10046.4	
